"Var1","Freq","prop","sample"
"DC_Mast",335,0.00425310413122413,"TCGA-A8-A08S"
"Macrophage",10451,0.132684153060965,"TCGA-A8-A08S"
"Malignant",35435,0.449876850417693,"TCGA-A8-A08S"
"Myoepi",1671,0.0212147373232105,"TCGA-A8-A08S"
"Plasma",12,0.000152349998730417,"TCGA-A8-A08S"
"Stromal",29744,0.377624863519793,"TCGA-A8-A08S"
"T",903,0.0114643374044639,"TCGA-A8-A08S"
"unassigned",105,0.00133306248889115,"TCGA-A8-A08S"
"B",10,0.000100049024021771,"TCGA-A8-A08T"
"DC_Mast",65,0.000650318656141509,"TCGA-A8-A08T"
"Macrophage",4652,0.0465428059749277,"TCGA-A8-A08T"
"Malignant",71597,0.716320997288671,"TCGA-A8-A08T"
"Myoepi",3032,0.0303348640834009,"TCGA-A8-A08T"
"Plasma",19,0.000190093145641364,"TCGA-A8-A08T"
"Stromal",20421,0.204310111954858,"TCGA-A8-A08T"
"T",132,0.00132064711708737,"TCGA-A8-A08T"
"unassigned",23,0.000230112755250073,"TCGA-A8-A08T"
"B",546,0.00546229416354869,"TCGA-A8-A08X"
"DC_Mast",1695,0.0169571219912363,"TCGA-A8-A08X"
"Macrophage",10410,0.104143740370956,"TCGA-A8-A08X"
"Malignant",60519,0.605444286600372,"TCGA-A8-A08X"
"Myoepi",5368,0.0537025550731307,"TCGA-A8-A08X"
"Plasma",55,0.000550231097060766,"TCGA-A8-A08X"
"Stromal",17622,0.176294043498269,"TCGA-A8-A08X"
"T",3637,0.0363852818183637,"TCGA-A8-A08X"
"unassigned",106,0.00106044538706257,"TCGA-A8-A08X"
"B",164,0.00164063984954132,"TCGA-A8-A099"
"DC_Mast",441,0.0044117205710227,"TCGA-A8-A099"
"Macrophage",9600,0.0960374546072968,"TCGA-A8-A099"
"Malignant",45028,0.450455677714309,"TCGA-A8-A099"
"Myoepi",5412,0.0541411150348636,"TCGA-A8-A099"
"Stromal",38443,0.384579986194616,"TCGA-A8-A099"
"T",848,0.00848330849031122,"TCGA-A8-A099"
"unassigned",25,0.000250097538039836,"TCGA-A8-A099"
"B",49,0.000577857446105948,"TCGA-A8-A09E"
"DC_Mast",418,0.00492947780555687,"TCGA-A8-A09E"
"Macrophage",3717,0.0438346148403227,"TCGA-A8-A09E"
"Malignant",69095,0.814837964054908,"TCGA-A8-A09E"
"Myoepi",2379,0.028055568658899,"TCGA-A8-A09E"
"Plasma",4,4.71720364168121e-05,"TCGA-A8-A09E"
"Stromal",8055,0.0949926883343554,"TCGA-A8-A09E"
"T",1030,0.0121467993773291,"TCGA-A8-A09E"
"unassigned",49,0.000577857446105948,"TCGA-A8-A09E"
"B",266,0.00336512916529616,"TCGA-A8-A09I"
"DC_Mast",1377,0.0174202363180933,"TCGA-A8-A09I"
"Macrophage",5705,0.072173164992536,"TCGA-A8-A09I"
"Malignant",45724,0.578447992308276,"TCGA-A8-A09I"
"Myoepi",1807,0.0228601067732713,"TCGA-A8-A09I"
"Plasma",19,0.000240366368949725,"TCGA-A8-A09I"
"Stromal",20772,0.262783695569668,"TCGA-A8-A09I"
"T",3343,0.042291830073628,"TCGA-A8-A09I"
"unassigned",33,0.000417478430281102,"TCGA-A8-A09I"
"B",94,0.00139302597845256,"TCGA-A8-A09N"
"DC_Mast",1378,0.0204211680671024,"TCGA-A8-A09N"
"Macrophage",12296,0.182219653521836,"TCGA-A8-A09N"
"Malignant",25435,0.376932082573838,"TCGA-A8-A09N"
"Myoepi",3531,0.052327390743787,"TCGA-A8-A09N"
"Plasma",3,4.44582759080603e-05,"TCGA-A8-A09N"
"Stromal",23582,0.349471687487959,"TCGA-A8-A09N"
"T",971,0.0143896619689088,"TCGA-A8-A09N"
"unassigned",189,0.0028008713822078,"TCGA-A8-A09N"
"B",30,0.000659239237919441,"TCGA-A8-A0AB"
"DC_Mast",140,0.00307644977695739,"TCGA-A8-A0AB"
"Macrophage",3321,0.0729777836376821,"TCGA-A8-A0AB"
"Malignant",21876,0.480717252290856,"TCGA-A8-A0AB"
"Myoepi",2987,0.0656382534555123,"TCGA-A8-A0AB"
"Plasma",2,4.39492825279627e-05,"TCGA-A8-A0AB"
"Stromal",16864,0.370580350275782,"TCGA-A8-A0AB"
"T",282,0.00619684883644275,"TCGA-A8-A0AB"
"unassigned",5,0.000109873206319907,"TCGA-A8-A0AB"
"DC_Mast",2,0.000151285930408472,"TCGA-AC-A23G"
"Macrophage",370,0.0279878971255673,"TCGA-AC-A23G"
"Malignant",9344,0.706807866868381,"TCGA-AC-A23G"
