"pred_type","gene","gene_set","model_id","cor_pearson","nrmse_sd","js_div","mi","ssim","auc_0"
"test","ABCA7","All Genes","GeneCodeR",0.0578201259381491,1.04174159406657,0.680699977712749,0.0289446636768189,0.0175652587426561,0.552487677893573
"test","ABCA7","All Genes","HisToGene",0.0642618248178989,1.01872996683615,0.672059135146808,0.0391742184772881,0.028102097016509,0.578196638139126
"test","ABCA7","All Genes","Hist2ST",0.0638402034878364,1.0316394661245,0.675041150642073,0.0455498126657061,0.0270250631886707,0.584222701363248
"test","ABCA7","All Genes","ST-Net",0.0977872875921664,1.05560364061901,0.67487833505841,0.0355388098187563,0.0394516135543727,0.567670129490951
"test","ABCA7","All Genes","THItoGene",0.0511675224824173,1.02835420104812,0.676563271793581,0.0396069251330097,0.0237422276589535,0.561652083623442
"test","ABCA7","All Genes","iStar",0.0435285061496679,1.33111121955585,0.773937290766476,0.0241454957435725,0.0497797553968807,0.549504595765304
"test","ABCF3","All Genes","DeepPT",0.177302938163333,1.1183055107278,0.480763622202757,0.0495821582025085,0.0980045094925322,0.600839755181885
"test","ABCF3","All Genes","DeepSpaCE",0.078956579075354,1.02143061456426,0.542337042853397,0.0383454008612935,0.0408787051328758,0.618576214627666
"test","ABCF3","All Genes","GHIST",0.172463509125983,1.24932394022314,0.449366702098146,0.0295103499532125,0.0736592722727488,0.555409403239959
"test","ABCF3","All Genes","GeneCodeR",0.149615460225596,1.07663391367203,0.470264270836502,0.0397432665457816,0.0638203318445547,0.594855667507356
"test","ABCF3","All Genes","HisToGene",0.155893987931829,1.06101174335476,0.458940423839526,0.0679437624590835,0.101538718875209,0.632625951366519
"test","ABCF3","All Genes","Hist2ST",0.153491071016306,1.04634305595338,0.446088048264173,0.0766492491972539,0.106754327205432,0.633121917127546
"test","ABCF3","All Genes","ST-Net",0.148137238010056,1.11070130932407,0.456300197374571,0.0499820243063573,0.103960793811861,0.598950904033312
"test","ABCF3","All Genes","THItoGene",0.120284582374123,1.06164782436671,0.459534645714179,0.0672918766185722,0.0832145389488179,0.60320923658602
"test","ABCF3","All Genes","iStar",0.0437302866474767,1.43373730297217,0.647055204554618,0.0313092327778667,0.05608671474093,0.556894339429478
"test","ABHD14A","All Genes","DeepPT",-0.0146253191110471,1.29525340612001,0.788515833229774,0.0243409365579306,0.00358000371979398,0.483779628312391
"test","ABHD14A","All Genes","DeepSpaCE",0.000807063428500393,1.01827673757612,0.789993274553687,0.024408255873552,0.00333147716254988,0.559846955386305
