"","corr","gene","n","type","model","sample"
"704",0.775848226878047,"FASN","top_20","svg","singler","breast_sample1"
"705",0.706253342018697,"CEACAM6","top_20","svg","singler","breast_sample1"
"706",0.47353197564636,"AGR3","top_20","svg","singler","breast_sample1"
"707",0.815360991131553,"FOXA1","top_20","svg","singler","breast_sample1"
"708",0.385356050617444,"KRT23","top_20","svg","singler","breast_sample1"
"709",0.84515107643949,"EPCAM","top_20","svg","singler","breast_sample1"
"710",0.474790484856523,"KRT6B","top_20","svg","singler","breast_sample1"
"711",0.677077543412024,"ABCC11","top_20","svg","singler","breast_sample1"
"712",0.719882703667027,"ERBB2","top_20","svg","singler","breast_sample1"
"713",0.805379659615459,"TACSTD2","top_20","svg","singler","breast_sample1"
"714",0.764961413881144,"GATA3","top_20","svg","singler","breast_sample1"
"715",0.564733652110289,"KRT14","top_20","svg","singler","breast_sample1"
"716",0.533255301089769,"KRT5","top_20","svg","singler","breast_sample1"
"717",0.851087273197998,"KRT7","top_20","svg","singler","breast_sample1"
"718",0.787363727076531,"ANKRD30A","top_20","svg","singler","breast_sample1"
"719",0.811327170311851,"MLPH","top_20","svg","singler","breast_sample1"
"720",0.608922339320294,"SERHL2","top_20","svg","singler","breast_sample1"
"741",0.0522621185360771,"ADIPOQ","top_50","svg","singler","breast_sample1"
"742",0.126199259023655,"OPRPN","top_50","svg","singler","breast_sample1"
"743",0.750734006089412,"SCD","top_50","svg","singler","breast_sample1"
"744",0.775848226878047,"FASN","top_50","svg","singler","breast_sample1"
"745",0.706253342018697,"CEACAM6","top_50","svg","singler","breast_sample1"
"746",0.47353197564636,"AGR3","top_50","svg","singler","breast_sample1"
"747",0.815360991131553,"FOXA1","top_50","svg","singler","breast_sample1"
"748",0.385356050617444,"KRT23","top_50","svg","singler","breast_sample1"
"749",0.84515107643949,"EPCAM","top_50","svg","singler","breast_sample1"
"750",0.474790484856523,"KRT6B","top_50","svg","singler","breast_sample1"
"751",0.677077543412024,"ABCC11","top_50","svg","singler","breast_sample1"
"752",0.719882703667027,"ERBB2","top_50","svg","singler","breast_sample1"
"753",0.805379659615459,"TACSTD2","top_50","svg","singler","breast_sample1"
"754",0.764961413881144,"GATA3","top_50","svg","singler","breast_sample1"
"755",0.564733652110289,"KRT14","top_50","svg","singler","breast_sample1"
"756",0.533255301089769,"KRT5","top_50","svg","singler","breast_sample1"
"757",0.851087273197998,"KRT7","top_50","svg","singler","breast_sample1"
"758",0.787363727076531,"ANKRD30A","top_50","svg","singler","breast_sample1"
"759",0.811327170311851,"MLPH","top_50","svg","singler","breast_sample1"
"760",0.608922339320294,"SERHL2","top_50","svg","singler","breast_sample1"
"761",0.350029251242081,"ADH1B","top_50","svg","singler","breast_sample1"
"762",0.556092663171187,"SERPINA3","top_50","svg","singler","breast_sample1"
"763",0.80189043377968,"KRT8","top_50","svg","singler","breast_sample1"
"764",0.606254982433617,"CXCL12","top_50","svg","singler","breast_sample1"
"765",0.788152110351852,"PTPRC","top_50","svg","singler","breast_sample1"
"766",0.637803081334357,"CCDC80","top_50","svg","singler","breast_sample1"
"767",0.590574613287552,"ELF3","top_50","svg","singler","breast_sample1"
"768",0.497920440101601,"KRT15","top_50","svg","singler","breast_sample1"
"769",0.641125621558788,"MYO5B","top_50","svg","singler","breast_sample1"
"770",0.445710825206655,"SFRP1","top_50","svg","singler","breast_sample1"
"771",0.736690714483545,"CDH1","top_50","svg","singler","breast_sample1"
"772",0.70365089666637,"CXCR4","top_50","svg","singler","breast_sample1"
"773",0.647059643099772,"S100A14","top_50","svg","singler","breast_sample1"
"774",0.729968623409708,"CD9","top_50","svg","singler","breast_sample1"
"775",0.500906141991108,"TFAP2A","top_50","svg","singler","breast_sample1"
"776",0.694383094313453,"CCND1","top_50","svg","singler","breast_sample1"
"777",0.508040114900002,"CLDN4","top_50","svg","singler","breast_sample1"
"778",0.719974138171495,"IL7R","top_50","svg","singler","breast_sample1"
"779",0.59974714775451,"AR","top_50","svg","singler","breast_sample1"
"780",0.13320159712016,"KRT16","top_50","svg","singler","breast_sample1"
"781",0.422879139942318,"PTGDS","top_50","svg","singler","breast_sample1"
"782",0.645095358950548,"POSTN","top_50","svg","singler","breast_sample1"
"783",0.609884147444518,"LYPD3","top_50","svg","singler","breast_sample1"
"784",0.650472669818185,"LUM","top_50","svg","singler","breast_sample1"
"785",0.363871796420815,"ESR1","top_50","svg","singler","breast_sample1"
"786",0.32879121985465,"MS4A1","top_50","svg","singler","breast_sample1"
"787",0.677260890673431,"DSP","top_50","svg","singler","breast_sample1"
"788",0.478787519637978,"SFRP4","top_50","svg","singler","breast_sample1"
"789",0.460016293160461,"MZB1","top_50","svg","singler","breast_sample1"
"790",0.448892185398243,"KLF5","top_50","svg","singler","breast_sample1"
"981",0.109131649190539,"ADIPOQ","top_20","svg","clustifyr","breast_sample1"
"982",-0.000792014654428802,"OPRPN","top_20","svg","clustifyr","breast_sample1"
"983",0.753060705547736,"SCD","top_20","svg","clustifyr","breast_sample1"
"984",0.777682558129497,"FASN","top_20","svg","clustifyr","breast_sample1"
"985",0.697245926269249,"CEACAM6","top_20","svg","clustifyr","breast_sample1"
"986",0.442477572659164,"AGR3","top_20","svg","clustifyr","breast_sample1"
"987",0.814669294890545,"FOXA1","top_20","svg","clustifyr","breast_sample1"
"988",0.403802662191037,"KRT23","top_20","svg","clustifyr","breast_sample1"
"989",0.843298065991136,"EPCAM","top_20","svg","clustifyr","breast_sample1"
"990",0.492176352603515,"KRT6B","top_20","svg","clustifyr","breast_sample1"
"991",0.676583026539342,"ABCC11","top_20","svg","clustifyr","breast_sample1"
"992",0.719917020210419,"ERBB2","top_20","svg","clustifyr","breast_sample1"
"993",0.805939567176303,"TACSTD2","top_20","svg","clustifyr","breast_sample1"
"994",0.76625521872009,"GATA3","top_20","svg","clustifyr","breast_sample1"
"995",0.577230172810524,"KRT14","top_20","svg","clustifyr","breast_sample1"
"996",0.545085597666769,"KRT5","top_20","svg","clustifyr","breast_sample1"
"997",0.85041120984861,"KRT7","top_20","svg","clustifyr","breast_sample1"
"998",0.787472621707582,"ANKRD30A","top_20","svg","clustifyr","breast_sample1"
"999",0.813096410548824,"MLPH","top_20","svg","clustifyr","breast_sample1"
"1000",0.602332889145555,"SERHL2","top_20","svg","clustifyr","breast_sample1"
"1021",0.109131649190539,"ADIPOQ","top_50","svg","clustifyr","breast_sample1"
"1022",-0.000792014654428802,"OPRPN","top_50","svg","clustifyr","breast_sample1"
"1023",0.753060705547736,"SCD","top_50","svg","clustifyr","breast_sample1"
"1024",0.777682558129497,"FASN","top_50","svg","clustifyr","breast_sample1"
"1025",0.697245926269249,"CEACAM6","top_50","svg","clustifyr","breast_sample1"
"1026",0.442477572659164,"AGR3","top_50","svg","clustifyr","breast_sample1"
"1027",0.814669294890545,"FOXA1","top_50","svg","clustifyr","breast_sample1"
"1028",0.403802662191037,"KRT23","top_50","svg","clustifyr","breast_sample1"
"1029",0.843298065991136,"EPCAM","top_50","svg","clustifyr","breast_sample1"
"1030",0.492176352603515,"KRT6B","top_50","svg","clustifyr","breast_sample1"
"1031",0.676583026539342,"ABCC11","top_50","svg","clustifyr","breast_sample1"
"1032",0.719917020210419,"ERBB2","top_50","svg","clustifyr","breast_sample1"
"1033",0.805939567176303,"TACSTD2","top_50","svg","clustifyr","breast_sample1"
"1034",0.76625521872009,"GATA3","top_50","svg","clustifyr","breast_sample1"
"1035",0.577230172810524,"KRT14","top_50","svg","clustifyr","breast_sample1"
"1036",0.545085597666769,"KRT5","top_50","svg","clustifyr","breast_sample1"
"1037",0.85041120984861,"KRT7","top_50","svg","clustifyr","breast_sample1"
"1038",0.787472621707582,"ANKRD30A","top_50","svg","clustifyr","breast_sample1"
