"x","y","celltype","model"
710.1855,80.70968,"Malignant","ground truth"
1218.4111,83.53333,"Malignant","ground truth"
1328.45,84.82,"Malignant","ground truth"
1403.5122,82.63415,"Macrophage","ground truth"
628.70966,83.731186,"Malignant","ground truth"
758.4964,86.46763,"Malignant","ground truth"
1254.9574,86.61702,"Malignant","ground truth"
1290.1025,85.30769,"Malignant","ground truth"
1616.6222,86.04444,"Malignant","ground truth"
302.6,85.1,"Malignant","ground truth"
657.94116,83.52941,"Malignant","ground truth"
830.9821,85.39286,"Malignant","ground truth"
861.913,85.565216,"Malignant","ground truth"
916.55444,86.49505,"Malignant","ground truth"
966.9535,86.39535,"Stromal","ground truth"
992.63464,85.28846,"Stromal","ground truth"
6497.443,83.85846,"Stromal","ground truth"
6702.219,88.166664,"Macrophage","ground truth"
283.40805,84.04023,"Malignant","ground truth"
736.3364,87.19626,"Malignant","ground truth"
894.6569,85.0073,"Malignant","ground truth"
980.3261,86.478264,"Macrophage","ground truth"
1132.0543,87.46739,"T","ground truth"
7377.8447,93.13846,"Stromal","ground truth"
220.25862,87.32758,"T","ground truth"
244.5,90.455,"Malignant","ground truth"
273.80264,87.9079,"Malignant","ground truth"
330.4907,91.31677,"Malignant","ground truth"
972.6222,87.51111,"T","ground truth"
1284.9181,89.14754,"Malignant","ground truth"
9.378641,95.73786,"Malignant","ground truth"
679.2747,91.15385,"Malignant","ground truth"
686.458,89.824425,"Malignant","ground truth"
939.3461,88.05769,"Stromal","ground truth"
1228.7872,87.87234,"Malignant","ground truth"
1486.68,89.97,"Malignant","ground truth"
1554.4166,89.13333,"Stromal","ground truth"
7477.7637,85.583336,"DC_Mast","ground truth"
805.4711,89.53846,"Malignant","ground truth"
843.3415,91.45122,"Malignant","ground truth"
904.48975,92.60959,"Malignant","ground truth"
1204.0094,90.056076,"Malignant","ground truth"
7298.423,85.455284,"Macrophage","ground truth"
577.37195,92.70122,"Myoepi","ground truth"
691.45654,90.695656,"Malignant","ground truth"
313.30258,92.040344,"Malignant","ground truth"
960.5128,91.07692,"Stromal","ground truth"
1175.8446,94.297295,"Malignant","ground truth"
1265.5428,92.72857,"Malignant","ground truth"
1270.2736,95.13207,"Malignant","ground truth"
1327.5272,90.218185,"Malignant","ground truth"
1688.1875,93.475,"Macrophage","ground truth"
1729.6714,91.42857,"Malignant","ground truth"
5939.675,94.77109,"Macrophage","ground truth"
645.9054,92.797295,"Malignant","ground truth"
927.0961,92.67308,"Malignant","ground truth"
817.2632,96.44079,"Malignant","ground truth"
1189.48,96.19,"Malignant","ground truth"
1292.1765,94.02353,"Malignant","ground truth"
1303,93.791664,"Malignant","ground truth"
1536.3707,92.06741,"Malignant","ground truth"
210.7451,93.82353,"T","ground truth"
569.91174,96.411766,"Stromal","ground truth"
812.05554,94.22222,"Malignant","ground truth"
884.82587,96.23383,"Malignant","ground truth"
1165.5403,98.564514,"Malignant","ground truth"
5790.6523,94.26087,"T","ground truth"
7140.9297,93.52631,"Stromal","ground truth"
733.4154,94.96923,"Malignant","ground truth"
855.21124,94.97183,"Malignant","ground truth"
862.57574,95.318184,"Malignant","ground truth"
1312.6957,97.684784,"Malignant","ground truth"
1372.2131,96.491806,"Malignant","ground truth"
1637.6697,96.81651,"Malignant","ground truth"
6671.8486,97.721954,"Malignant","ground truth"
6764.223,94.13198,"Macrophage","ground truth"
231.94737,96.09649,"Macrophage","ground truth"
387.14185,96.87234,"Stromal","ground truth"
606.64105,99.80342,"Malignant","ground truth"
791.9037,99.748146,"Malignant","ground truth"
1006.5686,95.0098,"Stromal","ground truth"
1047.1818,97.121216,"Plasma","ground truth"
1337.8557,98.26923,"Malignant","ground truth"
1462.2675,97.56977,"Stromal","ground truth"
1722.9315,98.38356,"Malignant","ground truth"
7119.6226,96.048195,"Macrophage","ground truth"
368.02255,99.34586,"Malignant","ground truth"
397.18918,95.64865,"T","ground truth"
707.65466,94.02878,"Malignant","ground truth"
1039.3062,97.061226,"T","ground truth"
1255.8846,96.76923,"Malignant","ground truth"
1416.8667,97.82667,"Malignant","ground truth"
298.48666,98.90667,"Malignant","ground truth"
591.3228,99.826775,"Malignant","ground truth"
672.28394,99.53086,"Malignant","ground truth"
718.348,100.73039,"Malignant","ground truth"
746.78876,101.84038,"Malignant","ground truth"
1284.5975,99.414635,"Malignant","ground truth"
1538.9354,103.18279,"Malignant","ground truth"
1739.411,99.945206,"Malignant","ground truth"
6657.888,94.675125,"Macrophage","ground truth"
7355.1665,97.36781,"Macrophage","ground truth"
908.74286,100.41428,"Malignant","ground truth"
927.71326,100.61029,"Malignant","ground truth"
979,99.117645,"Macrophage","ground truth"
580.2857,104.92063,"Malignant","ground truth"
1388.5238,99.79365,"Malignant","ground truth"
1653.6184,104.61842,"Malignant","ground truth"
6501.593,103.63708,"Malignant","ground truth"
310.374,104.73984,"Malignant","ground truth"
339.44904,102.3967,"Malignant","ground truth"
645.38,99.833336,"Malignant","ground truth"
699.9286,104.307144,"Malignant","ground truth"
968.71875,99.2625,"Myoepi","ground truth"
1218.9387,102.38776,"Malignant","ground truth"
1300.6951,102.53658,"Malignant","ground truth"
7168.706,101.64706,"Malignant","ground truth"
764.90265,100.27434,"Malignant","ground truth"
785.9726,103.68493,"Malignant","ground truth"
854.57776,102.76667,"Malignant","ground truth"
1206.9507,108.11972,"Malignant","ground truth"
1292.9767,102.06977,"Malignant","ground truth"
287.43066,104.985405,"Malignant","ground truth"
654.92566,106.297295,"Malignant","ground truth"
803.1711,104.302635,"Malignant","ground truth"
1088.5254,104.694916,"T","ground truth"
1186.0322,102.741936,"Malignant","ground truth"
1335.1482,104.666664,"Malignant","ground truth"
1437.25,104.28261,"Malignant","ground truth"
1550.6947,104.2421,"Malignant","ground truth"
733.3189,104.71352,"Malignant","ground truth"
974.0377,105.50944,"Myoepi","ground truth"
1005.125,105.32143,"Macrophage","ground truth"
1044.58,103.32,"T","ground truth"
1229.2981,107.608696,"Malignant","ground truth"
1275.2847,106.28472,"Malignant","ground truth"
1574.8,107.04,"Stromal","ground truth"
1689.7307,104.01923,"Macrophage","ground truth"
322.28735,105.37931,"Malignant","ground truth"
825.8449,108.14439,"Malignant","ground truth"
872.8395,104.555046,"Malignant","ground truth"
900.60254,104.051285,"Malignant","ground truth"
1170.9661,106.67796,"Malignant","ground truth"
1396,107.03125,"Malignant","ground truth"
1561.7865,106.20225,"Malignant","ground truth"
5932.656,105.91803,"B","ground truth"
7141.119,109.42128,"Stromal","ground truth"
357.63028,112.22183,"Malignant","ground truth"
572.6539,107.32051,"Myoepi","ground truth"
756.6774,109.02419,"Malignant","ground truth"
774.2398,105.02846,"Malignant","ground truth"
952.8677,107.04412,"Malignant","ground truth"
1023.27905,106.56977,"Stromal","ground truth"
1381.3077,109.371796,"Malignant","ground truth"
6069.3794,107.155174,"B","ground truth"
593.469,109.81379,"Malignant","ground truth"
1288.725,106.85,"Malignant","ground truth"
1359.3827,107.888885,"Stromal","ground truth"
5949.409,110.02273,"T","ground truth"
6991.185,105.18699,"Stromal","ground truth"
7155.173,109.67308,"Stromal","ground truth"
7273.6567,111.07692,"Malignant","ground truth"
300.58557,109.88288,"Malignant","ground truth"
741.6221,113.15748,"Malignant","ground truth"
1251.4174,108.96063,"Malignant","ground truth"
1511.2976,109.166664,"Malignant","ground truth"
1606.0741,107.96296,"Malignant","ground truth"
6687.658,107.226616,"Malignant","ground truth"
642.00934,112.11215,"Malignant","ground truth"
886.76,111.05,"Malignant","ground truth"
945.82416,110.47253,"Malignant","ground truth"
1301.9569,110.18965,"Malignant","ground truth"
7166.9194,108.22581,"Stromal","ground truth"
7491.3228,114.95079,"Stromal","ground truth"
670.1099,108.8377,"Malignant","ground truth"
895.0449,117.05618,"Malignant","ground truth"
963.10187,111.46296,"Malignant","ground truth"
1218.4681,110.74468,"Malignant","ground truth"
1627.8334,110.17949,"Malignant","ground truth"
1685.5618,113.044945,"Stromal","ground truth"
924.3647,112.89412,"Malignant","ground truth"
978.337,111.652176,"Malignant","ground truth"
