"corr","gene","n","type","model","sample"
0.622510612860515,"KRT7","top_50","svg","w/o ref + w cell type + w neighborhood","breast_sample1"
0.626363219276292,"ANKRD30A","top_50","svg","w/o ref + w cell type + w neighborhood","breast_sample1"
0.624008134645422,"MLPH","top_50","svg","w/o ref + w cell type + w neighborhood","breast_sample1"
0.288268986850855,"SERHL2","top_50","svg","w/o ref + w cell type + w neighborhood","breast_sample1"
0,"ADH1B","top_50","svg","w/o ref + w cell type + w neighborhood","breast_sample1"
0.2656415640993,"SERPINA3","top_50","svg","w/o ref + w cell type + w neighborhood","breast_sample1"
0.568076710993359,"KRT8","top_50","svg","w/o ref + w cell type + w neighborhood","breast_sample1"
0.288031443255668,"CXCL12","top_50","svg","w/o ref + w cell type + w neighborhood","breast_sample1"
0.542900056448281,"PTPRC","top_50","svg","w/o ref + w cell type + w neighborhood","breast_sample1"
0.324331612234566,"CCDC80","top_50","svg","w/o ref + w cell type + w neighborhood","breast_sample1"
0.483738722650549,"MYO5B","top_50","svg","w/o ref + w cell type + w neighborhood","breast_sample1"
0.0650525520523967,"SFRP1","top_50","svg","w/o ref + w cell type + w neighborhood","breast_sample1"
0.215648340317786,"CDH1","top_50","svg","w/o ref + w cell type + w neighborhood","breast_sample1"
0.415849148715197,"CXCR4","top_50","svg","w/o ref + w cell type + w neighborhood","breast_sample1"
0.459061316410912,"S100A14","top_50","svg","w/o ref + w cell type + w neighborhood","breast_sample1"
0.489017780692208,"CD9","top_50","svg","w/o ref + w cell type + w neighborhood","breast_sample1"
0.376555383032477,"TFAP2A","top_50","svg","w/o ref + w cell type + w neighborhood","breast_sample1"
0.52290131633779,"CCND1","top_50","svg","w/o ref + w cell type + w neighborhood","breast_sample1"
0.533485238748547,"IL7R","top_50","svg","w/o ref + w cell type + w neighborhood","breast_sample1"
0.441019894542906,"AR","top_50","svg","w/o ref + w cell type + w neighborhood","breast_sample1"
0.109674741118207,"PTGDS","top_50","svg","w/o ref + w cell type + w neighborhood","breast_sample1"
0.105650625251841,"POSTN","top_50","svg","w/o ref + w cell type + w neighborhood","breast_sample1"
0.352903744197071,"LYPD3","top_50","svg","w/o ref + w cell type + w neighborhood","breast_sample1"
0.186114935503532,"LUM","top_50","svg","w/o ref + w cell type + w neighborhood","breast_sample1"
0.216718890592693,"ESR1","top_50","svg","w/o ref + w cell type + w neighborhood","breast_sample1"
0.112558835740911,"MS4A1","top_50","svg","w/o ref + w cell type + w neighborhood","breast_sample1"
0.50517537404221,"DSP","top_50","svg","w/o ref + w cell type + w neighborhood","breast_sample1"
0.283694230093027,"SFRP4","top_50","svg","w/o ref + w cell type + w neighborhood","breast_sample1"
0.00277693024114531,"MZB1","top_50","svg","w/o ref + w cell type + w neighborhood","breast_sample1"
0,"KLF5","top_50","svg","w/o ref + w cell type + w neighborhood","breast_sample1"
-0.0267563050682484,"MYH11","top_50","svg","w/o ref + w cell type + w neighborhood","breast_sample1"
0.290768948867261,"FBLN1","top_50","svg","w/o ref + w cell type + w neighborhood","breast_sample1"
0.516625874074544,"TRAC","top_50","svg","w/o ref + w cell type + w neighborhood","breast_sample1"
-0.00868980866882764,"PTN","top_50","svg","w/o ref + w cell type + w neighborhood","breast_sample1"
0,"ADIPOQ","top_20","svg","w/o ref + w cell type + w/o neighborhood","breast_sample1"
0,"OPRPN","top_20","svg","w/o ref + w cell type + w/o neighborhood","breast_sample1"
0,"SCD","top_20","svg","w/o ref + w cell type + w/o neighborhood","breast_sample1"
0.612185648839336,"FASN","top_20","svg","w/o ref + w cell type + w/o neighborhood","breast_sample1"
0,"CEACAM6","top_20","svg","w/o ref + w cell type + w/o neighborhood","breast_sample1"
0.0509583892213909,"AGR3","top_20","svg","w/o ref + w cell type + w/o neighborhood","breast_sample1"
0.627101751606734,"FOXA1","top_20","svg","w/o ref + w cell type + w/o neighborhood","breast_sample1"
0.0959190083869866,"KRT23","top_20","svg","w/o ref + w cell type + w/o neighborhood","breast_sample1"
0.640016208531185,"EPCAM","top_20","svg","w/o ref + w cell type + w/o neighborhood","breast_sample1"
0,"KRT6B","top_20","svg","w/o ref + w cell type + w/o neighborhood","breast_sample1"
0.320589988268409,"ABCC11","top_20","svg","w/o ref + w cell type + w/o neighborhood","breast_sample1"
0.501374895079388,"ERBB2","top_20","svg","w/o ref + w cell type + w/o neighborhood","breast_sample1"
0.622608821105808,"TACSTD2","top_20","svg","w/o ref + w cell type + w/o neighborhood","breast_sample1"
0.602612378754308,"GATA3","top_20","svg","w/o ref + w cell type + w/o neighborhood","breast_sample1"
0,"KRT14","top_20","svg","w/o ref + w cell type + w/o neighborhood","breast_sample1"
0,"KRT5","top_20","svg","w/o ref + w cell type + w/o neighborhood","breast_sample1"
0.660725602016363,"KRT7","top_20","svg","w/o ref + w cell type + w/o neighborhood","breast_sample1"
0.664577500978879,"ANKRD30A","top_20","svg","w/o ref + w cell type + w/o neighborhood","breast_sample1"
0.67128915795313,"MLPH","top_20","svg","w/o ref + w cell type + w/o neighborhood","breast_sample1"
0.298962106598484,"SERHL2","top_20","svg","w/o ref + w cell type + w/o neighborhood","breast_sample1"
0,"ADIPOQ","top_50","svg","w/o ref + w cell type + w/o neighborhood","breast_sample1"
0,"OPRPN","top_50","svg","w/o ref + w cell type + w/o neighborhood","breast_sample1"
0,"SCD","top_50","svg","w/o ref + w cell type + w/o neighborhood","breast_sample1"
0.612185648839336,"FASN","top_50","svg","w/o ref + w cell type + w/o neighborhood","breast_sample1"
0,"CEACAM6","top_50","svg","w/o ref + w cell type + w/o neighborhood","breast_sample1"
0.0509583892213909,"AGR3","top_50","svg","w/o ref + w cell type + w/o neighborhood","breast_sample1"
