"","corr","gene","n","type","model","sample"
"478",0.507000161355987,"KRT14","top_50","svg","OTSU","breast_sample2"
"479",0.569044912839684,"ANKRD30A","top_50","svg","OTSU","breast_sample2"
"480",0.470871899426822,"PTN","top_50","svg","OTSU","breast_sample2"
"481",0.346740218056788,"S100A8","top_50","svg","OTSU","breast_sample2"
"482",0.640914032910043,"DSP","top_50","svg","OTSU","breast_sample2"
"483",0.368611722958781,"POSTN","top_50","svg","OTSU","breast_sample2"
"484",0.529182663429121,"KRT5","top_50","svg","OTSU","breast_sample2"
"485",0.615705401135156,"AR","top_50","svg","OTSU","breast_sample2"
"486",0.348913113765536,"CEACAM6","top_50","svg","OTSU","breast_sample2"
"487",0.484254513907856,"SERPINA3","top_50","svg","OTSU","breast_sample2"
"488",0.440115692109981,"ESR1","top_50","svg","OTSU","breast_sample2"
"489",0.484764829185267,"SFRP1","top_50","svg","OTSU","breast_sample2"
"490",0.640467700358755,"JUP","top_50","svg","OTSU","breast_sample2"
"491",0.697965671614731,"CD9","top_50","svg","OTSU","breast_sample2"
"492",0.0899387802071923,"MMP1","top_50","svg","OTSU","breast_sample2"
"493",0.760473538256605,"ERBB2","top_50","svg","OTSU","breast_sample2"
"494",0.411717477419167,"AKR1C1","top_50","svg","OTSU","breast_sample2"
"495",0.489634126565071,"ALDH1A3","top_50","svg","OTSU","breast_sample2"
"496",0.598207672204942,"TRAF4","top_50","svg","OTSU","breast_sample2"
"497",0.40629652439706,"TOP2A","top_50","svg","OTSU","breast_sample2"
"498",0.527765542772165,"AQP3","top_50","svg","OTSU","breast_sample2"
"499",0.566235282227904,"DSC2","top_50","svg","OTSU","breast_sample2"
"500",0.556753056270457,"SLC5A6","top_50","svg","OTSU","breast_sample2"
"501",0.508553606331529,"SQLE","top_50","svg","OTSU","breast_sample2"
"502",0.273427578066522,"KRT23","top_50","svg","OTSU","breast_sample2"
"503",0.708613947215537,"TPD52","top_50","svg","OTSU","breast_sample2"
"504",0.450794686541751,"SDC4","top_50","svg","OTSU","breast_sample2"
"505",0.203682521095974,"SFRP4","top_50","svg","OTSU","breast_sample2"
"506",0.56639868854668,"RUNX1","top_50","svg","OTSU","breast_sample2"
"507",0.582225315667232,"MDM2","top_50","svg","OTSU","breast_sample2"
"508",0.615814764685302,"ENAH","top_50","svg","OTSU","breast_sample2"
"509",0.681791472601265,"KRT8","top_50","svg","OTSU","breast_sample2"
"510",0.330712703244604,"LYZ","top_50","svg","OTSU","breast_sample2"
"701",0.787409352693754,"ABCC11","top_20","svg","stardist","breast_sample2"
"702",0.617657013398582,"MYBPC1","top_20","svg","stardist","breast_sample2"
"703",0.769326676411053,"FOXA1","top_20","svg","stardist","breast_sample2"
"704",NA,"OPRPN","top_20","svg","stardist","breast_sample2"
"705",0.804835699428658,"SERHL2","top_20","svg","stardist","breast_sample2"
"706",0.737419904555846,"FASN","top_20","svg","stardist","breast_sample2"
"707",0.558641099105076,"MUC6","top_20","svg","stardist","breast_sample2"
"708",0.75741958814329,"CDH1","top_20","svg","stardist","breast_sample2"
"709",0.497337749645399,"MYH11","top_20","svg","stardist","breast_sample2"
"710",0.727431024183311,"TACSTD2","top_20","svg","stardist","breast_sample2"
"711",0.648875140264362,"TFAP2A","top_20","svg","stardist","breast_sample2"
"712",0.727822695427535,"MLPH","top_20","svg","stardist","breast_sample2"
"713",0.764165984255031,"EPCAM","top_20","svg","stardist","breast_sample2"
"714",0.681952581979754,"LYPD3","top_20","svg","stardist","breast_sample2"
"715",0.743247201982563,"KRT7","top_20","svg","stardist","breast_sample2"
"716",0.689705849029284,"SCD","top_20","svg","stardist","breast_sample2"
"717",0.392312840185437,"PIGR","top_20","svg","stardist","breast_sample2"
"718",0.503700709632902,"KRT14","top_20","svg","stardist","breast_sample2"
"719",0.605447875496412,"ANKRD30A","top_20","svg","stardist","breast_sample2"
"720",0.468671497106304,"PTN","top_20","svg","stardist","breast_sample2"
"741",0.787409352693754,"ABCC11","top_50","svg","stardist","breast_sample2"
"742",0.617657013398582,"MYBPC1","top_50","svg","stardist","breast_sample2"
"743",0.769326676411053,"FOXA1","top_50","svg","stardist","breast_sample2"
"744",NA,"OPRPN","top_50","svg","stardist","breast_sample2"
"745",0.804835699428658,"SERHL2","top_50","svg","stardist","breast_sample2"
"746",0.737419904555846,"FASN","top_50","svg","stardist","breast_sample2"
