"","x_cord","y_cord","gene"
"Cell_3760",390.44565,180.84782,1.44227888753292
"Cell_3782",175.26712,187,3.17963681938851
"Cell_3759",270.41772,182.55696,2.62590152955848
"Cell_3757",165.30232,182.75581,0
"Cell_3784",620.97296,180.72974,3.09743533108995
"Cell_3827",105.666664,181.95238,0
"Cell_3803",156.69026,183.51328,0
"Cell_3830",630.16925,183.8923,3.08653514827861
"Cell_3783",403.2582,187.71361,2.2601280735994
"Cell_3855",313.7245,185.32654,2.77324796088105
"Cell_3761",503.8387,179.46452,2.38617276067345
"Cell_3785",639.5,183.37143,2.72009138593514
"Cell_3853",228.7561,186.2561,2.46192998177077
"Cell_3852",66.291664,184.5,2.00414289726222
"Cell_3854",297.48276,184.72414,2.84403069763744
"Cell_3829",372.45834,184.625,1.36192762961281
"Cell_3804",461.61765,179.66176,2.34230042720263
"Cell_3828",189.59224,185.18446,3.54263275980453
"Cell_3856",387.58008,192.37662,1.60870878486626
"Cell_3878",13.52439,187.07317,2.92508637800432
"Cell_3879",75.58108,186.1892,2.5179649942416
"Cell_3926",239.02272,188.82954,3.69727008691832
"Cell_4000",319.19672,192.40984,0
"Cell_3927",263.71002,194.70631,2.84139370119233
"Cell_3957",103.26277,188.9562,1.80077140291984
"Cell_3925",116.90833,189.89166,3.12008486356905
"Cell_3958",149,189.8,0
"Cell_3975",634.73956,191.84375,3.64202738454491
"Cell_3999",290.5368,191.87013,3.27384085978793
"Cell_4022",362.97873,191.14894,0
"Cell_4065",12.783582,197.00746,2.33517733859893
"Cell_4023",451.96,192.28,1.91944737275672
"Cell_4046",57.42857,193.04082,0
"Cell_4024",484.39343,192.32787,0
"Cell_4047",626.79584,194.36649,2.95685570976677
"Cell_4085",188.28903,194.63123,2.84549845726971
"Cell_4087",437.22784,196.2152,1.51755211097277
"Cell_4086",215.6811,197.97638,2.55712262148489
"Cell_4141",34.394737,199.9386,1.90611962154421
"Cell_4143",166.04808,198.35577,3.45252938534532
"Cell_4144",203.9939,196.65854,2.07842414170522
"Cell_4142",120.784485,198.61208,0
