"","x_cord","y_cord","group_broad_type"
"cell452",294.9192,199.77777,"Malignant"
"cell453",353.3793,197.48276,"Macrophage"
"cell454",421.13974,196.77019,"Macrophage"
"cell459",306.0645,199.14194,"Malignant"
"cell460",596.2526,198.2,"Stromal"
"cell461",98.52907,200.09883,"Malignant"
"cell462",273.38425,204.38916,"Malignant"
"cell463",145.45946,197.27365,"Stromal"
"cell464",155.74074,201.58025,"Malignant"
"cell466",384.73495,200.95181,"Malignant"
"cell468",73.88816,204.98685,"Malignant"
"cell469",632.8929,201.5,"Myoepi"
"cell470",178.39682,203.68254,"Malignant"
"cell471",399.6492,205.14659,"Malignant"
"cell473",546.4545,200.75325,"Stromal"
"cell474",246.46104,199.38962,"Malignant"
"cell475",84.34259,202.98148,"Malignant"
"cell476",346.13333,203.4,"Macrophage"
"cell478",287.75107,208.13304,"Malignant"
"cell479",362.5,203.96591,"T"
"cell481",187.36667,204.72223,"Malignant"
"cell485",608.24615,203.8,"Myoepi"
"cell488",507.5942,201.07246,"DC_Mast"
"cell490",428.89536,205.86046,"Stromal"
"cell491",159.86539,207.3077,"Malignant"
"cell492",171.92622,208.09016,"Malignant"
"cell497",58.391026,209.08974,"Malignant"
"cell499",194.97675,207.30232,"Malignant"
"cell502",341.2857,207.71428,"Stromal"
"cell503",17.690647,205.30936,"Malignant"
"cell504",260.8323,209.87578,"Malignant"
"cell505",423.9041,213.26712,"Malignant"
"cell509",238.32292,209.64583,"Stromal"
"cell511",490.80884,209.54411,"Stromal"
"cell514",408.05264,209.8158,"Macrophage"
"cell515",377.97015,210.52238,"Malignant"
"cell518",305.10657,213.34427,"Stromal"
"cell519",58.766666,212.53334,"Malignant"
"cell521",131.01031,210.90721,"Macrophage"
"cell522",328.57376,211.70493,"Macrophage"
"cell523",546.91174,213,"Stromal"
"cell524",448.43137,211.52942,"T"
"cell525",98.20721,212.45946,"Malignant"
"cell526",388.2553,212.89362,"Malignant"
"cell527",353.92593,214.66667,"Malignant"
"cell528",85.48729,216.50847,"Malignant"
"cell530",144.85715,212.17143,"Stromal"
"cell533",616.21716,215.80807,"Myoepi"
"cell534",314.48718,214.23077,"Malignant"
"cell539",475.8021,215.15625,"T"
"cell541",543,211.14935,"Stromal"
"cell543",202.76,215.65334,"B"
"cell544",273.31073,220.02824,"Malignant"
"cell545",225.34055,215.3081,"Stromal"
"cell548",117.69643,215.14285,"Malignant"
"cell549",240.52672,218.54199,"Stromal"
"cell550",336.81055,221.06235,"Malignant"
"cell554",38.85625,217.54375,"Malignant"
"cell555",183.64761,218.91429,"Malignant"
"cell556",12.4862385,216.0367,"T"
"cell557",163.13393,217,"Malignant"
"cell559",367.0043,217.0043,"Malignant"
"cell562",27.713236,215.58089,"Stromal"
"cell563",51.762962,220.14815,"Malignant"
"cell564",171.78021,219.7033,"Malignant"
"cell567",315.64706,220.14117,"Malignant"
"cell569",630.4091,219.98485,"Stromal"
"cell572",68.43396,220.36792,"Malignant"
"cell573",155.23932,226.1624,"Malignant"
"cell576",137.1306,224.02985,"Stromal"
"cell577",310.24,224.26,"Malignant"
"cell578",482.46033,222.04762,"T"
"cell579",410.4311,221.70674,"Malignant"
"cell580",493.78665,218.21333,"Stromal"
"cell581",191.88489,224.90648,"Macrophage"
"cell582",387.48553,224.00578,"Malignant"
"cell583",462.8305,222.47458,"T"
"cell584",329.44232,224.50961,"Malignant"
"cell585",544.439,223.95122,"Stromal"
"cell587",377.4355,225.79033,"Malignant"
"cell591",257.95322,222.23392,"Myoepi"
"cell592",201.375,225.5,"T"
"cell593",396.70108,226.94022,"Malignant"
"cell594",96.55696,224.50633,"Malignant"
"cell595",566.95,224.31667,"T"
"cell598",305.76047,228.5988,"Malignant"
"cell599",239.37254,225.47058,"T"
"cell603",160.73494,227.48193,"Malignant"
"cell604",636.7679,224.53572,"Stromal"
"cell605",614.76086,226.94565,"Myoepi"
"cell606",372.2535,230.45775,"Malignant"
"cell607",19.773333,222.72,"Malignant"
"cell611",355.7927,230.13414,"Malignant"
"cell612",430.47107,226.50414,"Stromal"
"cell614",14.466666,230.6,"Malignant"
"cell617",61.069443,230.77777,"Malignant"
"cell618",235.36363,230.21213,"T"
"cell619",248.09302,230.89536,"Malignant"
"cell620",75.74269,228.91228,"Malignant"
"cell621",131.45454,229.81818,"Myoepi"
"cell625",226.89473,230.63158,"Stromal"
"cell627",323.44232,231.4423,"Malignant"
"cell629",46.925,227.74374,"Malignant"
"cell630",190.56522,233.28986,"Malignant"
"cell631",418.62338,230.82468,"Malignant"
"cell633",252.61157,237.3967,"Myoepi"
"cell637",168.8772,233.33333,"Malignant"
"cell640",612.5301,234.85542,"Stromal"
"cell641",89.347824,237.30435,"Malignant"
"cell644",139.69388,234.95918,"Malignant"
"cell645",367.73785,236.93204,"Malignant"
"cell646",533.1539,235.4077,"Stromal"
"cell647",634.35,234.525,"Myoepi"
"cell648",328.2,235.76666,"Malignant"
"cell649",345.669,236.82394,"Malignant"
"cell652",128.96297,235.59259,"Stromal"
"cell656",53.638298,236.34042,"Malignant"
"cell657",202.392,236.736,"Macrophage"
"cell659",233.55186,238.32365,"Myoepi"
"cell660",155.70909,241.61818,"Malignant"
"cell661",112.42105,236.89473,"Stromal"
"cell663",471.67856,237.52678,"Stromal"
"cell664",591.92,237.50667,"Stromal"
"cell665",261.9014,238.88733,"Myoepi"
"cell667",134.15573,242.90984,"Malignant"
"cell668",627.617,240.89362,"Malignant"
"cell670",411.50385,241.06154,"Malignant"
"cell671",66.97647,240.62354,"Malignant"
"cell675",322.34952,243.54369,"Malignant"
"cell677",598,241.86792,"Myoepi"
"cell678",42.07595,243.72151,"Malignant"
"cell679",347.46393,244.35051,"Malignant"
"cell680",376.96396,241.84685,"Malignant"
"cell681",577.7059,240.64706,"Macrophage"
"cell682",201.56863,242.2745,"Myoepi"
"cell683",298.1486,237.47389,"Malignant"
"cell687",33.753246,243.90909,"Malignant"
"cell688",191.45963,243.64597,"Malignant"
"cell689",124.76119,244.47762,"Malignant"
"cell690",181.08888,246.59555,"Malignant"
"cell691",360.22012,243.63522,"Malignant"
"cell695",155.17342,245.79768,"Malignant"
"cell696",448.72223,246,"DC_Mast"
"cell700",282.5,244.30263,"Malignant"
"cell702",50.72388,246.46269,"Malignant"
"cell703",256.56757,248.16216,"Malignant"
"cell707",426.82693,244.89423,"Macrophage"
"cell710",17.290817,247.13776,"Malignant"
"cell711",73.440254,250.20126,"Malignant"
"cell712",291.2204,250.88487,"Malignant"
"cell713",612.944,251.208,"Myoepi"
"cell714",58.62406,248.87218,"Malignant"
"cell715",103.09876,249.59877,"Malignant"
"cell718",213.76086,253.34782,"Stromal"
"cell721",225.79259,248.92592,"Malignant"
"cell726",607.51166,248.2093,"Myoepi"
"cell727",136.02684,252.72484,"Malignant"
"cell728",461.5702,252.1228,"Stromal"
"cell729",348.86,249.7,"Malignant"
"cell731",204.63435,251.06168,"Malignant"
"cell732",41.73171,251.56097,"Malignant"
"cell735",372.19736,252.73027,"Malignant"
"cell736",636.50574,249.08046,"Myoepi"
"cell738",329.31677,250.30435,"Malignant"
"cell743",362.32877,256.4041,"Malignant"
"cell744",519.95496,253.7027,"Stromal"
"cell745",172.46378,253.62318,"Malignant"
"cell746",272.89517,256.83066,"Malignant"
"cell749",445.725,253.2625,"T"
"cell750",600.9149,252.87234,"Myoepi"
"cell753",94.864075,256.83496,"Malignant"
"cell755",339.37,252.56,"Malignant"
"cell757",124.635414,254.70833,"Malignant"
"cell758",349.59723,257.89584,"Malignant"
"cell759",576.1111,258.5889,"Stromal"
"cell763",410.22748,256.8057,"Malignant"
"cell765",508.35,258.04,"Stromal"
"cell768",398.89163,255.61577,"Malignant"
"cell770",623.0459,256.69724,"Malignant"
"cell771",35.40625,258.5104,"Malignant"
"cell773",222.76712,261.50684,"Malignant"
"cell775",262.87964,258.60184,"Malignant"
"cell776",69.05303,260.0909,"T"
"cell777",579.9143,257.22858,"Stromal"
"cell780",326.8387,261.21774,"Malignant"
"cell781",167.57004,261.17264,"Malignant"
