"","x_cord","y_cord","gene"
"cell944",219.51562,289.09375,1.0257648
"cell945",85.55556,292.66666,1.6112658
"cell947",343.11765,293.7745,2.1992292
"cell951",443.2564,291.2564,0.19111246
"cell952",24.044945,292.17978,1.7339499
"cell953",266.87225,296.68613,2.5985172
"cell955",591.05554,294.9222,1.2071815
"cell957",304.6854,294.83145,2.4648387
"cell958",168.98347,290.81818,2.099588
"cell960",235.41454,291.36752,1.2901715
"cell961",279.55173,294.12643,2.414431
"cell963",61.89051,295.0292,1.4300944
"cell964",76.0625,292.72916,1.5620016
"cell968",602.1277,298.18723,1.2401842
"cell972",160.66394,295.7459,0.64448375
"cell975",570.1648,300.80682,1.3038138
"cell976",376.7473,293.16666,0.86361474
"cell978",405.3889,300.4192,0.38685766
"cell980",365.2857,302.38623,3.092117
"cell982",69.629265,301.90732,1.7353195
"cell990",172.0138,302.08966,2.3947282
"cell991",245.56288,300.38324,2.5353332
"cell992",522.8601,299.43524,1.6976414
"cell996",288.63916,297.6701,2.1707575
"cell998",25.588236,302.9647,0.43801618
"cell999",229.72566,301.55753,1.7605479
"cell1003",506.3889,302.77777,0.308676
"cell1004",535.11664,302.86667,1.0998185
"cell1005",553.24255,305.94043,1.3430388
"cell1008",189.95918,300.42856,0.80210346
"cell1009",319.35483,304.7258,2.4479997
"cell1012",52.6125,306.45,1.4948483
"cell1013",329.82278,303.02533,2.0019817
"cell1015",152.36957,304.49637,2.0891356
"cell1016",44.38889,303.98148,1.3029319
"cell1017",117.3617,304.68085,1.1760267
"cell1018",347.99405,308.5238,2.5672004
"cell1020",88.63513,305.06757,0.7188196
"cell1023",530.58234,308.5647,2.0847058
"cell1024",310.50314,306.56604,2.042993
"cell1026",15.178011,309.77487,0.18853733
"cell1027",246.98734,306.51898,1.9413757
"cell1028",9.022727,305.13635,0.31984028
"cell1030",273.49606,308.88977,2.4537945
"cell1034",507.68323,313.58386,1.421225
"cell1036",447.20447,303.37698,0.20902076
"cell1040",127.59155,308.21127,1.782168
"cell1042",61.897728,310.89774,1.6639563
"cell1043",138.64487,310.6542,2.4710102
"cell1044",216.60638,308.64362,2.4245508
"cell1045",226.52632,309.8,2.2037702
"cell1047",293.8323,309.52795,2.392928
"cell1048",380.5147,312.24707,2.5491507
"cell1049",614.39465,308.31418,1.4606084
"cell1053",262.88422,311.76843,1.3489023
"cell1054",281.42682,313.2378,2.4102812
"cell1059",466.54037,312.64597,0.22055908
"cell1062",101.20588,311.2549,2.1513257
"cell1064",300.59756,312.69513,2.0992188
"cell1065",255.76624,310.63635,1.7371
"cell1067",556.6711,312.9079,1.1358261
"cell1068",577.2062,311.0103,1.1895963
"cell1070",74.88739,310.23422,1.066232
"cell1073",13.5,313.5,0.3575162
"cell1074",49.51852,314.34567,1.5678331
"cell1076",338.0645,315.51614,1.2795868
"cell1078",520.73016,319.1111,2.5563228
"cell1079",574.9079,317.7434,1.7414845
"cell1080",129.66327,315.55103,2.1561532
"cell1081",199.9646,316.00885,2.2879725
"cell1084",625.3482,315.83035,1.2905823
"cell1090",403.57983,318.94116,0.34151456
"cell1091",483.43903,315.5,0.14967589
"cell1092",297.29688,319.375,2.165173
"cell1093",455.22342,317.17023,0.26862988
"cell1094",532.3467,320.06668,2.1537576
"cell1098",187.68983,323.41177,2.069662
"cell1099",366.4889,319.43332,2.4043567
"cell1100",75.947914,320.65103,1.4774985
"cell1103",506.77777,319.33334,1.447165
"cell1104",552.8717,319.77432,2.0713933
"cell1105",636.75964,320.68268,1.815566
"cell1106",60.616665,319.78333,1.0897604
"cell1107",106.676926,322.30768,1.1333348
"cell1110",241.47762,318.76865,2.5940053
"cell1112",32.234043,320.8156,1.00357
"cell1113",46.854652,321.11047,1.5466002
"cell1114",378.97287,329.86047,2.4376705
"cell1117",616.3905,323.7143,2.1152632
"cell1118",606.028,320.36447,1.0510381
"cell1120",199.21649,324.74228,2.2007492
"cell1122",19.205479,322.21918,0.5164547
"cell1125",218.3,327.89,2.3758266
"cell1126",228.8473,324.52695,2.3079438
"cell1128",584.40424,325.39362,1.922017
"cell1129",176.59348,330.72403,2.1898208
"cell1130",593.5274,324.89874,1.7153686
"cell1131",305.0966,329.27557,2.4922419
"cell1132",503.55045,325.25687,1.796723
"cell1134",362.24374,327.8719,2.4591968
"cell1137",293.07574,326.25757,1.5873841
"cell1138",12.792453,326.30188,0.6345007
"cell1139",122.12676,324.1831,0.5029428
"cell1142",199.11702,332.47873,2.1590745
"cell1143",59.29293,329.20203,0.4785807
"cell1144",278.26315,327.05847,2.9098368
"cell1148",511.76923,329.75385,1.187517
"cell1149",573.4912,327.61404,1.6262892
"cell1150",496.0909,329.5303,1.354554
"cell1151",37,328.4565,0.5380953
"cell1152",335.80435,327.71738,1.3266605
"cell1154",622.28864,331.26547,2.249335
"cell1156",558,330.3758,2.2160878
"cell1157",95.93644,330.97882,1.5416087
"cell1160",351.24295,333.59323,2.332486
"cell1162",48.356163,329.8904,0.65467626
"cell1165",156.18556,331.58762,2.1059575
"cell1167",539.2909,328.1091,1.0520546
"cell1169",476.74667,333.58667,0.35419437
"cell1171",253.004,336.612,2.43895
"cell1172",164.91667,331.89285,2.1088626
"cell1173",569.78687,333.29507,0.9091038
"cell1175",321.54022,335.0345,1.4374899
"cell1176",487.71875,331.71875,0.8122206
"cell1178",143.85185,333.21295,1.7901019
"cell1180",500.9125,336.4875,1.7253805
"cell1182",28.395744,335.52765,1.9119705
"cell1183",239.02162,337.53513,2.6179733
"cell1185",44.116882,336.487,1.4869369
"cell1187",84.093025,338.7093,2.024657
"cell1190",525.0917,336.46704,1.4589767
"cell1191",18.551723,338.6069,0.9550193
"cell1192",131.35228,340.375,0.8172971
"cell1194",225.35359,341.9171,2.596976
"cell1195",491.76746,336.44186,1.2584983
"cell1197",117.23629,341.7342,0.59634143
"cell1198",588.6894,340.95834,2.1086614
"cell1199",9.257576,335.18182,0.7730326
"cell1200",541.745,338.4741,1.9775814
"cell1202",134.63637,338.31818,1.4597907
"cell1204",205.42857,340.65237,2.5843723
"cell1205",145.94012,342.82635,2.148593
"cell1206",508.55435,341.63043,0.80478114
"cell1207",619.49274,339.5942,1.8208088
"cell1208",341.1346,340.58975,2.7212837
"cell1210",212.58109,345.48648,2.6247504
"cell1211",184.12675,342.66196,2.2936711
"cell1212",487.35416,342.04166,0.5171048
"cell1213",159.86131,343.59854,2.1296852
"cell1214",194.15584,344.02597,2.4923377
"cell1215",440.38016,338.66116,0.23752908
"cell1216",34.588234,341.88235,1.1268646
"cell1218",289.43146,344.50806,2.6399252
"cell1219",609.493,344.95773,1.5407007
"cell1221",513.551,343.55103,0.683546
"cell1222",571.8763,340.25772,1.6777356
"cell1224",331.26923,342.25,1.2123241
"cell1225",556.0097,342.83496,0.79196894
"cell1226",496.23254,344.38373,0.4820679
"cell1228",362.3643,343.15714,2.699
"cell1231",167.93976,343.80722,2.219858
"cell1232",151.96,344.36,2.0368857
"cell1233",326.0238,345.87302,1.543096
"cell1234",91.62069,347.05173,0.63963217
"cell1236",45.92105,348.5351,1.6467663
"cell1237",344.64444,348.16666,2.218128
"cell1238",59.641026,346.0598,1.9987354
"cell1239",302.43872,349.4258,1.809223
"cell1240",315.50302,346.40607,2.007167
"cell1241",274.9018,355.92856,2.8366106
"cell1242",431.2925,347.62585,0.33342797
"cell1244",467.51282,347,0.5786808
"cell1245",14.848102,345.62024,1.4935675
