data,permutation,subgroup,cindex
GHIST,1,HER2+,0.437164437
GHIST,2,HER2+,0.51120287
GHIST,3,HER2+,0.510534387
GHIST,4,HER2+,0.480899471
GHIST,5,HER2+,0.697616828
GHIST,6,HER2+,0.589316239
GHIST,7,HER2+,0.507567706
GHIST,8,HER2+,0.553657246
GHIST,9,HER2+,0.673305573
GHIST,10,HER2+,0.645899994
GHIST,11,HER2+,0.696598764
GHIST,12,HER2+,0.399547422
GHIST,13,HER2+,0.547675686
GHIST,14,HER2+,0.623658499
GHIST,15,HER2+,0.576078007
GHIST,16,HER2+,0.768876439
GHIST,17,HER2+,0.432659933
GHIST,18,HER2+,0.487179487
GHIST,19,HER2+,0.389299696
GHIST,20,HER2+,0.533449405
GHIST,21,HER2+,0.57889963
GHIST,22,HER2+,0.532709157
GHIST,23,HER2+,0.7004329
GHIST,24,HER2+,0.386776213
GHIST,25,HER2+,0.507357432
GHIST,26,HER2+,0.602333756
GHIST,27,HER2+,0.471239892
GHIST,28,HER2+,0.637801932
GHIST,29,HER2+,0.628690048
GHIST,30,HER2+,0.565818281
GHIST,31,HER2+,0.63220339
GHIST,32,HER2+,0.560891591
GHIST,33,HER2+,0.657904859
GHIST,34,HER2+,0.59212963
GHIST,35,HER2+,0.502510609
GHIST,36,HER2+,0.535026774
GHIST,37,HER2+,0.425982385
GHIST,38,HER2+,0.575757576
GHIST,39,HER2+,0.554155875
GHIST,40,HER2+,0.697612732
GHIST,41,HER2+,0.614053524
GHIST,42,HER2+,0.532177651
GHIST,43,HER2+,0.614950432
GHIST,44,HER2+,0.421766113
GHIST,45,HER2+,0.473595849
GHIST,46,HER2+,0.52214691
GHIST,47,HER2+,0.696328103
GHIST,48,HER2+,0.403508772
GHIST,49,HER2+,0.498956961
GHIST,50,HER2+,0.544326783
GHIST,51,HER2+,0.474346268
GHIST,52,HER2+,0.619342813
GHIST,53,HER2+,0.402452026
GHIST,54,HER2+,0.575002867
GHIST,55,HER2+,0.576131121
GHIST,56,HER2+,0.56952381
