"time","n.risk","n.event","n.censor","surv","std.err","upper","lower","strata","risk_cat","pval.txt","pval","data","subgroup"
504,33,0,1,0.948509485094851,0.0374620727030922,1,0.881361152034322,"risk_cat=low-risk","low-risk","p = 0.95",0.949751901724183,"DeepPT","HER2+"
545,32,0,1,0.948509485094851,0.0374620727030922,1,0.881361152034322,"risk_cat=low-risk","low-risk","p = 0.95",0.949751901724183,"DeepPT","HER2+"
607,31,0,1,0.948509485094851,0.0374620727030922,1,0.881361152034322,"risk_cat=low-risk","low-risk","p = 0.95",0.949751901724183,"DeepPT","HER2+"
622,30,0,1,0.948509485094851,0.0374620727030922,1,0.881361152034322,"risk_cat=low-risk","low-risk","p = 0.95",0.949751901724183,"DeepPT","HER2+"
734,29,0,1,0.948509485094851,0.0374620727030922,1,0.881361152034322,"risk_cat=low-risk","low-risk","p = 0.95",0.949751901724183,"DeepPT","HER2+"
881,28,0,1,0.948509485094851,0.0374620727030922,1,0.881361152034322,"risk_cat=low-risk","low-risk","p = 0.95",0.949751901724183,"DeepPT","HER2+"
943,27,0,1,0.948509485094851,0.0374620727030922,1,0.881361152034322,"risk_cat=low-risk","low-risk","p = 0.95",0.949751901724183,"DeepPT","HER2+"
1004,26,0,1,0.948509485094851,0.0374620727030922,1,0.881361152034322,"risk_cat=low-risk","low-risk","p = 0.95",0.949751901724183,"DeepPT","HER2+"
1013,25,0,1,0.948509485094851,0.0374620727030922,1,0.881361152034322,"risk_cat=low-risk","low-risk","p = 0.95",0.949751901724183,"DeepPT","HER2+"
1093,24,0,1,0.948509485094851,0.0374620727030922,1,0.881361152034322,"risk_cat=low-risk","low-risk","p = 0.95",0.949751901724183,"DeepPT","HER2+"
1156,23,0,1,0.948509485094851,0.0374620727030922,1,0.881361152034322,"risk_cat=low-risk","low-risk","p = 0.95",0.949751901724183,"DeepPT","HER2+"
1248,22,0,1,0.948509485094851,0.0374620727030922,1,0.881361152034322,"risk_cat=low-risk","low-risk","p = 0.95",0.949751901724183,"DeepPT","HER2+"
1272,21,1,0,0.903342366757001,0.0615171461640098,1,0.8007351429048,"risk_cat=low-risk","low-risk","p = 0.95",0.949751901724183,"DeepPT","HER2+"
1308,20,0,1,0.903342366757001,0.0615171461640098,1,0.8007351429048,"risk_cat=low-risk","low-risk","p = 0.95",0.949751901724183,"DeepPT","HER2+"
1371,19,0,1,0.903342366757001,0.0615171461640098,1,0.8007351429048,"risk_cat=low-risk","low-risk","p = 0.95",0.949751901724183,"DeepPT","HER2+"
1430,18,1,0,0.853156679714945,0.0839781705467159,1,0.723679794422102,"risk_cat=low-risk","low-risk","p = 0.95",0.949751901724183,"DeepPT","HER2+"
1448,17,0,1,0.853156679714945,0.0839781705467159,1,0.723679794422102,"risk_cat=low-risk","low-risk","p = 0.95",0.949751901724183,"DeepPT","HER2+"
1492,16,0,1,0.853156679714945,0.0839781705467159,1,0.723679794422102,"risk_cat=low-risk","low-risk","p = 0.95",0.949751901724183,"DeepPT","HER2+"
1545,15,0,1,0.853156679714945,0.0839781705467159,1,0.723679794422102,"risk_cat=low-risk","low-risk","p = 0.95",0.949751901724183,"DeepPT","HER2+"
1614,14,0,1,0.853156679714945,0.0839781705467159,1,0.723679794422102,"risk_cat=low-risk","low-risk","p = 0.95",0.949751901724183,"DeepPT","HER2+"
1631,13,0,1,0.853156679714945,0.0839781705467159,1,0.723679794422102,"risk_cat=low-risk","low-risk","p = 0.95",0.949751901724183,"DeepPT","HER2+"
1642,12,0,1,0.853156679714945,0.0839781705467159,1,0.723679794422102,"risk_cat=low-risk","low-risk","p = 0.95",0.949751901724183,"DeepPT","HER2+"
1728,11,0,1,0.853156679714945,0.0839781705467159,1,0.723679794422102,"risk_cat=low-risk","low-risk","p = 0.95",0.949751901724183,"DeepPT","HER2+"
1972,10,0,1,0.853156679714945,0.0839781705467159,1,0.723679794422102,"risk_cat=low-risk","low-risk","p = 0.95",0.949751901724183,"DeepPT","HER2+"
2128,9,0,1,0.853156679714945,0.0839781705467159,1,0.723679794422102,"risk_cat=low-risk","low-risk","p = 0.95",0.949751901724183,"DeepPT","HER2+"
2248,8,0,1,0.853156679714945,0.0839781705467159,1,0.723679794422102,"risk_cat=low-risk","low-risk","p = 0.95",0.949751901724183,"DeepPT","HER2+"
2426,7,0,1,0.853156679714945,0.0839781705467159,1,0.723679794422102,"risk_cat=low-risk","low-risk","p = 0.95",0.949751901724183,"DeepPT","HER2+"
2442,6,0,1,0.853156679714945,0.0839781705467159,1,0.723679794422102,"risk_cat=low-risk","low-risk","p = 0.95",0.949751901724183,"DeepPT","HER2+"
2605,5,0,1,0.853156679714945,0.0839781705467159,1,0.723679794422102,"risk_cat=low-risk","low-risk","p = 0.95",0.949751901724183,"DeepPT","HER2+"
2629,4,0,1,0.853156679714945,0.0839781705467159,1,0.723679794422102,"risk_cat=low-risk","low-risk","p = 0.95",0.949751901724183,"DeepPT","HER2+"
2632,3,0,1,0.853156679714945,0.0839781705467159,1,0.723679794422102,"risk_cat=low-risk","low-risk","p = 0.95",0.949751901724183,"DeepPT","HER2+"
3128,2,0,1,0.853156679714945,0.0839781705467159,1,0.723679794422102,"risk_cat=low-risk","low-risk","p = 0.95",0.949751901724183,"DeepPT","HER2+"
3409,1,1,0,0,Inf,NA,NA,"risk_cat=low-risk","low-risk","p = 0.95",0.949751901724183,"DeepPT","HER2+"
31,49,0,1,1,0,1,1,"risk_cat=high-risk","high-risk","p = 0.94",0.937974405527788,"DeepSpaCE","HER2+"
116,48,1,0,0.979166666666667,0.021053798026663,1,0.939583962226159,"risk_cat=high-risk","high-risk","p = 0.94",0.937974405527788,"DeepSpaCE","HER2+"
