"pred_type","gene","model_id","dataset","cor_pearson","ssim"
"test","NDUFB9","GeneCodeR","her2+",0.142969523626132,0.0878730005698807
"test","NDUFC1","GeneCodeR","her2+",0.083124351017814,0.0327919957573792
"test","NDUFS1","GeneCodeR","her2+",0.0763025878648783,0.0252326400005116
"test","NDUFV3","GeneCodeR","her2+",0.106175015306222,0.0417476059628114
"test","NEBL","GeneCodeR","her2+",0.0564136330455868,0.0165405682106689
"test","NEK7","GeneCodeR","her2+",0.0368829149386855,0.0105940451252024
"test","NELFE","GeneCodeR","her2+",0.0487649551194429,0.0260694194608749
"test","NFATC4","GeneCodeR","her2+",0.0353751689824771,0.016989461441652
"test","NFIC","GeneCodeR","her2+",0.080946491853302,0.0478939288636295
"test","NINJ1","GeneCodeR","her2+",0.164170093312978,0.0910515006430132
"test","NIT2","GeneCodeR","her2+",0.104224468603657,0.0336642398200507
"test","NMRAL1","GeneCodeR","her2+",0.16118015126433,0.0799443140041971
"test","NR1H2","GeneCodeR","her2+",0.0458575685455338,0.023141433617396
"test","NR4A1","GeneCodeR","her2+",0.0729441018923583,0.0242791851733161
"test","NRP1","GeneCodeR","her2+",0.0323658801306064,0.0119175556999049
"test","NSMCE1","GeneCodeR","her2+",0.0765571085970933,0.0294181734929886
"test","NTMT1","GeneCodeR","her2+",0.0300365984868639,0.0145164874507791
"test","NUP214","GeneCodeR","her2+",0.0732217084156157,0.0196524969889712
"test","NUP93","GeneCodeR","her2+",0.111019016802499,0.0293724215183894
"test","NXN","GeneCodeR","her2+",0.0510776454706965,0.0168889402726117
"test","OASL","GeneCodeR","her2+",0.0408357337905052,0.0105318293341054
"test","OGFRL1","GeneCodeR","her2+",0.0449014795129234,0.0112672720418203
"test","OPTN","GeneCodeR","her2+",0.0555437910823647,0.0203508092291218
"test","ORC2","GeneCodeR","her2+",0.0199154385391384,0.00596753537196304
"test","OSBPL8","GeneCodeR","her2+",0.0149091851590043,0.00715163387692005
"test","P4HA2","GeneCodeR","her2+",0.0378387954237372,0.00833721232127275
"test","PAF1","GeneCodeR","her2+",0.0418139650763599,0.018673640132456
"test","PAFAH1B3","GeneCodeR","her2+",0.125850788751376,0.0504595552707037
"test","PAQR4","GeneCodeR","her2+",0.10925510001522,0.0425227075853571
"test","PARN","GeneCodeR","her2+",0.0206586539701116,0.0058466703481092
